date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:59	134/134	U-----	200	untouched ('OK')	text/plain	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/robots.txt		(from )
21:05:01	187867/187867	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/index.html	(from )
21:05:03	1574/1574	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jul%202024%2020:05:00%20GMT	http://www.google.com/2005/gml/expr	C:/My%20Web%20Sites/adsweb/www.google.com/2005/gml/expr.0.delayed	(from https://www.shubhamz.in/)
21:05:13	1741/1741	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%22e97acd0bc7104d45af67c0c1d883418e%22	https://cdn.onesignal.com/sdks/web/v16/OneSignalSDK.page.js	C:/My%20Web%20Sites/adsweb/cdn.onesignal.com/sdks/web/v16/OneSignalSDK.page.js	(from https://www.shubhamz.in/)
21:05:14	192101/192101	U--M--	200	updated ('OK')	text/javascript	etag:11311699588331624102	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-5794907021804201	C:/My%20Web%20Sites/adsweb/pagead2.googlesyndication.com/pagead/js/f4e2b.txt	(from https://www.shubhamz.in/)
21:05:25	1150/1150	U-----	200	untouched ('')	image/x-icon	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/favicon.ico	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/favicon.ico	(from https://www.shubhamz.in/)
21:05:33	313495/313495	U--MC-	200	updated ('OK')	application/javascript	date:Sat,%2013%20Jul%202024%2020:05:07%20GMT	https://www.googletagmanager.com/gtag/js?id=G-QFLLN8ZVTF	C:/My%20Web%20Sites/adsweb/www.googletagmanager.com/gtag/js1645	(from https://www.shubhamz.in/)
21:05:34	191601/191601	U--MCZ	200	updated ('OK')	application/atom+xml	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/feeds/posts/default	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/feeds/posts/default	(from https://www.shubhamz.in/)
21:05:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2013%20Jul%202024%2020:05:36%20GMT	http://1.bp.blogspot.com/	C:/My%20Web%20Sites/adsweb/1.bp.blogspot.com/index.html	(from https://www.shubhamz.in/)
21:05:47	3611/3611	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jul%202024%2020:05:42%20GMT	http://28.2bp.blogspot.com/	C:/My%20Web%20Sites/adsweb/28.2bp.blogspot.com/index.html	(from https://www.shubhamz.in/)
